duration_extension,duration,participants_no,quantity_annual,quantity_total,maximum_price_allowed,winner_price,second_place_price,published_year,published_month,start_year,start_month,end_extension_year,end_extension_month,buyer_buyer_1,buyer_buyer_10,buyer_buyer_11,buyer_buyer_12,buyer_buyer_13,buyer_buyer_14,buyer_buyer_15,buyer_buyer_16,buyer_buyer_17,buyer_buyer_18,buyer_buyer_19,buyer_buyer_2,buyer_buyer_3,buyer_buyer_4,buyer_buyer_5,buyer_buyer_6,buyer_buyer_7,buyer_buyer_8,buyer_buyer_9,region_region_1,region_region_10,region_region_11,region_region_12,region_region_13,region_region_14,region_region_15,region_region_16,region_region_2,region_region_3,region_region_4,region_region_5,region_region_6,region_region_7,region_region_8,region_region_9,contract_type_multi-region,contract_type_regional,winner_participants_16,winner_participants_19,winner_participants_23,winner_participants_6
10,39,1,9860,32966.51108,0.1,0.0004,,2013,5,2013,5,2017,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0,48,1,54988,220249.4427,63442.21,0.007,,2013,4,2013,6,2017,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
6,12,2,1904,2680.639219,0.11635,0.014,0.07071,2013,6,2014,8,2016,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
19,36,1,1652,5900.676494,0.03,0.025,,2013,5,2013,5,2017,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
6,36,1,1000,3289.22341,0.0001,1e-05,,2013,12,2013,12,2017,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
14,48,1,2088,9026.16847,0.0255,0.019,,2013,12,2014,2,2019,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
3,12,1,16490,17282.31383,5e-05,1e-05,,2014,2,2014,1,2015,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
10,36,4,10332,31951.79163,0.08,0.03,0.034,2014,3,2014,5,2018,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
6,24,1,17413,35013.91854,0.0001,1e-05,,2014,3,2014,5,2016,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
7,36,1,3467,10766.58581,0.0001,0.0001,,2014,9,2014,8,2020,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0,36,3,339387,1018263.113,664493.87,0.034,0.04214,2014,8,2014,10,2018,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
3,12,1,16490,17107.89762,5e-05,5e-05,,2015,2,2015,1,2016,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
6,36,4,2800,8589.313285,0.07971,0.01699,0.06802,2016,4,2016,6,2019,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3,48,1,75544,302560.0861,6647.872,0.02,,2017,10,2017,9,2021,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
12,36,1,9608,29731.30548,0.109,0.05,,2017,12,2018,1,2022,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
26,48,2,14476,58032.68175,0.025,0.017,0.0242,2017,12,2018,3,2024,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
2,24,2,32875,66527.92798,0.02,0.02,0.99931561,2018,5,2018,4,2020,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
6,36,2,20993,63904.29401,0.022,0.02,0.866568476,2019,5,2019,7,2023,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
0,36,3,2680,8426.467693,0.07971,0.01786,0.06511,2020,1,2020,8,2023,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,36,3,2680,8833.156207,0.07971,0.01786,0.06511,2019,12,2020,8,2023,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
12,36,1,21864,65931.00078,0.022,0.01607,,2020,3,2020,6,2024,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
6,24,1,25750,51752.91832,0.02,0.0125,,2020,6,2020,4,2022,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
0,36,3,12040,36740.26825,0.04,0.035,0.038,2020,6,2020,7,2023,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
0,49,2,288795,1179786.644,963542.28,0.0205,0.03929,2020,10,2020,11,2024,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
0,48,1,23688,95007.35275,0.0125,0.0123,,2021,6,2021,5,2025,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
6,48,1,40014,160968.9444,0.02001,0.018,,2021,7,2021,7,2026,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
6,24,1,28180,56479.37121,0.0125,0.0122,,2022,3,2022,3,2024,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
12,12,2,5488,6263.290169,0.016,0.015,0.01571,2022,7,2022,8,2024,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
24,24,2,15113,30548.84441,0.03929,0.02393,0.034,2022,7,2022,6,2026,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,24,3,2820,5758.720773,0.03,0.015,0.025,2023,7,2023,8,2025,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
6,36,4,36360,109912.3512,0.09322,0.0155,0.06256,2023,10,2023,9,2027,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
